model,preset,PRIMARY_METRIC,MRR,_source_basename,_source_container,_source_mtime,_primary_metric_name
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0.2596944970332046,0.2889673311184939,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0.2558139534883721,0.3134505352528608,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
sentence-transformers/sentence-t5-base,E_diversity,0.2535249614034928,0.2583333333333333,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0.2496287333961973,0.2942921742340347,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0.2441860465116279,0.2971668512366187,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0.2441860465116279,0.2858157991878922,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
sentence-transformers/all-distilroberta-v1,E_diversity,0.2389183686994749,0.2846530084902177,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
sentence-transformers/sentence-t5-base,J_char_heavy,0.2332255385182988,0.2525516795865634,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
sentence-transformers/distiluse-base-multilingual-cased-v2,J_char_heavy,0.2325581395348837,0.2744785898855666,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
sentence-transformers/distiluse-base-multilingual-cased-v2,D_char_jaccard,0.2325581395348837,0.2738787375415282,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera1,2025-09-17 15:11:16,nDCG@k
