model,preset,_source_basename,f1,precision,recall,coverage
sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3749999999999999,0.2727272727272727,0.6,0.2558139534883721
sentence-transformers/all-MiniLM-L6-v2,B_hybrid_light,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3733333333333333,0.25,0.7368421052631579,0.6511627906976745
sentence-transformers/paraphrase-albert-small-v2,I_short_skills_bias,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3678160919540229,0.2285714285714285,0.9411764705882352,0.813953488372093
sentence-transformers/all-distilroberta-v1,D_char_jaccard,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3666666666666667,0.2558139534883721,0.6470588235294118,0.5
sentence-transformers/paraphrase-albert-small-v2,G_mnn_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3636363636363636,0.2222222222222222,1.0,0.8372093023255814
sentence-transformers/all-MiniLM-L6-v2,H_zfilter,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3636363636363636,0.2553191489361702,0.631578947368421,0.5465116279069767
sentence-transformers/paraphrase-albert-small-v2,B_hybrid_light,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3636363636363636,0.2253521126760563,0.9411764705882352,0.8255813953488372
sentence-transformers/paraphrase-albert-small-v2,E_diversity,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3636363636363636,0.2253521126760563,0.9411764705882352,0.8255813953488372
sentence-transformers/paraphrase-MiniLM-L3-v2,C_lex_sem_strong,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3619047619047619,0.2209302325581395,1.0,1.0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3619047619047619,0.2209302325581395,1.0,1.0
sentence-transformers/paraphrase-MiniLM-L3-v2,D_char_jaccard,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3614457831325301,0.2307692307692307,0.8333333333333334,0.7558139534883721
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3614457831325301,0.2307692307692307,0.8333333333333334,0.7558139534883721
sentence-transformers/all-distilroberta-v1,G_mnn_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.358974358974359,0.2333333333333333,0.7777777777777778,0.6976744186046512
sentence-transformers/paraphrase-albert-small-v2,H_zfilter,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3561643835616438,0.2321428571428571,0.7647058823529411,0.6511627906976745
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3555555555555555,0.2191780821917808,0.9411764705882352,0.8488372093023255
sentence-transformers/paraphrase-MiniLM-L3-v2,H_zfilter,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3544303797468354,0.2295081967213114,0.7777777777777778,0.7093023255813954
sentence-transformers/paraphrase-MiniLM-L3-v2,I_short_skills_bias,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3529411764705882,0.2142857142857142,1.0,0.9767441860465116
sentence-transformers/paraphrase-MiniLM-L3-v2,J_char_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3495145631067961,0.2117647058823529,1.0,0.9883720930232558
