model,preset,thr,precision,recall,f1,coverage,queries
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.1499999999999999,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.09999999999999998,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.04999999999999993,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.0,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.050000000000000044,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.10000000000000009,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.15000000000000013,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.20000000000000018,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.25,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.30000000000000004,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.3500000000000001,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.40000000000000013,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.4500000000000002,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.5,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.55,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.6000000000000001,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.6500000000000001,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.7000000000000002,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.75,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.8,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.8500000000000001,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.9000000000000001,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,0.9500000000000002,0.11904761904761904,1.0,0.21276595744680848,0.9767441860465116,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,1.0,0.125,1.0,0.2222222222222222,0.9302325581395349,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-1.0,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.95,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.9,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.85,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.8,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.75,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.7,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.6499999999999999,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.6,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.55,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.5,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.44999999999999996,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.3999999999999999,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.35,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.29999999999999993,0.16279069767441862,1.0,0.28,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,-0.25,0.16279069767441862,1.0,0.28,1.0,86
