pipeline,plot_type,ext,n
coursera,H1,svg,2
coursera,H2,svg,1
coursera,H3,svg,1
coursera,H4,svg,1
coursera,H5,svg,4
coursera,H6,svg,2
coursera,unknown,png,7
dwa,H1,png,2
dwa,H1,svg,2
dwa,H2,png,2
dwa,H2,svg,1
dwa,H3,png,1
dwa,H3,svg,1
dwa,H4,png,2
dwa,H4,svg,1
dwa,H5,png,1
dwa,H5,svg,4
dwa,H6,svg,2
