container,source,path_rel,basename,ext,size_bytes,size_kb,modified,artifact_type,pipeline_expected,pipeline_tag_in_name,suffix_applicable,suffix_expected,suffix_present,pipeline_tag_mismatch,abs_path
results_coursera1,dir,neighbors_coursera_long_embedding_data_deberta_sentence_transformer_I_short_skills_bias_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_embedding_data_deberta_sentence_transformer_I_short_skills_bias_dwa_cb25d773_skill_1edbbb05.csv,.csv,552343,539.4,2025-09-17T15:07:48,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_embedding_data_deberta_sentence_transformer_I_short_skills_bias_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_embedding_data_deberta_sentence_transformer_J_char_heavy_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_embedding_data_deberta_sentence_transformer_J_char_heavy_dwa_cb25d773_skill_1edbbb05.csv,.csv,552337,539.4,2025-09-17T15:08:16,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_embedding_data_deberta_sentence_transformer_J_char_heavy_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_A_semantic_only_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_A_semantic_only_dwa_cb25d773_skill_1edbbb05.csv,.csv,511911,499.9,2025-09-17T14:58:58,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_A_semantic_only_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_B_hybrid_light_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_B_hybrid_light_dwa_cb25d773_skill_1edbbb05.csv,.csv,530008,517.6,2025-09-17T14:59:10,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_B_hybrid_light_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_C_lex_sem_strong_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_C_lex_sem_strong_dwa_cb25d773_skill_1edbbb05.csv,.csv,537851,525.2,2025-09-17T14:59:20,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_C_lex_sem_strong_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_D_char_jaccard_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_D_char_jaccard_dwa_cb25d773_skill_1edbbb05.csv,.csv,543322,530.6,2025-09-17T14:59:48,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_D_char_jaccard_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_E_diversity_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_E_diversity_dwa_cb25d773_skill_1edbbb05.csv,.csv,527354,515.0,2025-09-17T15:00:00,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_E_diversity_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_F_recall_first_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_F_recall_first_dwa_cb25d773_skill_1edbbb05.csv,.csv,525713,513.4,2025-09-17T15:00:10,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_F_recall_first_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_G_mnn_heavy_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_G_mnn_heavy_dwa_cb25d773_skill_1edbbb05.csv,.csv,523149,510.9,2025-09-17T15:00:16,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_G_mnn_heavy_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_H_zfilter_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_H_zfilter_dwa_cb25d773_skill_1edbbb05.csv,.csv,517372,505.2,2025-09-17T15:00:22,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_MiniLM_L6_v2_H_zfilter_dwa_cb25d773_skill_1edbbb05.csv
