model,preset,thr,f1,coverage,precision
embedding_data_deberta_sentence_transformer,A_semantic_only,1.0,0.15384615384615385,1.0,0.15384615384615385
embedding_data_deberta_sentence_transformer,B_hybrid_light,1.3822965340847904,0.2295081967213115,0.5641025641025641,0.3181818181818182
embedding_data_deberta_sentence_transformer,C_lex_sem_strong,1.4300000277161597,0.24242424242424246,0.6923076923076923,0.2962962962962963
embedding_data_deberta_sentence_transformer,D_zfilter,1.4779534216194439,0.23529411764705882,0.3076923076923077,0.5
embedding_data_deberta_sentence_transformer,E_diversity,1.3254229681284373,0.2295081967213115,0.5641025641025641,0.3181818181818182
embedding_data_deberta_sentence_transformer,F_recall_first,1.2902024208536393,0.24000000000000002,0.28205128205128205,0.5454545454545454
embedding_data_deberta_sentence_transformer,G_mnn_heavy,1.4808625024444781,0.23076923076923075,0.3333333333333333,0.46153846153846156
embedding_data_deberta_sentence_transformer,H_zfilter,1.3602965340847906,0.22580645161290322,0.5897435897435898,0.30434782608695654
embedding_data_deberta_sentence_transformer,I_short_skills_bias,1.5454060915675891,0.23529411764705882,0.3076923076923077,0.5
embedding_data_deberta_sentence_transformer,J_char_heavy,1.4079512591362,0.23529411764705882,0.7435897435897436,0.27586206896551724
sentence_transformers_all_MiniLM_L6_v2,A_semantic_only,1.0,0.3333333333333333,1.0,0.3333333333333333
sentence_transformers_all_MiniLM_L6_v2,B_hybrid_light,1.3680362107680732,0.3888888888888889,0.8461538461538461,0.42424242424242425
sentence_transformers_all_MiniLM_L6_v2,C_lex_sem_strong,1.4378828329775937,0.35616438356164387,0.8717948717948718,0.38235294117647056
sentence_transformers_all_MiniLM_L6_v2,D_zfilter,1.3101023415368656,0.3733333333333333,0.9230769230769231,0.3888888888888889
sentence_transformers_all_MiniLM_L6_v2,E_diversity,1.293426399940125,0.3835616438356165,0.8717948717948718,0.4117647058823529
sentence_transformers_all_MiniLM_L6_v2,F_recall_first,1.1769918361813014,0.37837837837837845,0.8974358974358975,0.4
sentence_transformers_all_MiniLM_L6_v2,G_mnn_heavy,1.3447633729167503,0.3888888888888889,0.8461538461538461,0.42424242424242425
sentence_transformers_all_MiniLM_L6_v2,H_zfilter,1.3367941800436969,0.36619718309859156,0.8205128205128205,0.40625
sentence_transformers_all_MiniLM_L6_v2,I_short_skills_bias,1.378129668998587,0.35616438356164387,0.8717948717948718,0.38235294117647056
sentence_transformers_all_MiniLM_L6_v2,J_char_heavy,1.5785978438370192,0.35294117647058826,0.7435897435897436,0.41379310344827586
sentence_transformers_all_distilroberta_v1,A_semantic_only,1.0,0.28205128205128205,1.0,0.28205128205128205
sentence_transformers_all_distilroberta_v1,B_hybrid_light,1.4541094104765204,0.34375,0.6410256410256411,0.44
sentence_transformers_all_distilroberta_v1,C_lex_sem_strong,1.1864088330197802,0.38461538461538464,1.0,0.38461538461538464
sentence_transformers_all_distilroberta_v1,D_zfilter,1.4228813080511922,0.34375,0.6410256410256411,0.44
sentence_transformers_all_distilroberta_v1,E_diversity,1.3982816734697108,0.34375,0.6410256410256411,0.44
sentence_transformers_all_distilroberta_v1,F_recall_first,1.205854882267866,0.33333333333333337,0.6923076923076923,0.4074074074074074
sentence_transformers_all_distilroberta_v1,G_mnn_heavy,1.246341985803067,0.34210526315789475,0.9487179487179487,0.35135135135135137
sentence_transformers_all_distilroberta_v1,H_zfilter,1.4182989027954263,0.3278688524590163,0.5641025641025641,0.45454545454545453
sentence_transformers_all_distilroberta_v1,I_short_skills_bias,1.2013326246060363,0.36363636363636365,0.9743589743589743,0.3684210526315789
sentence_transformers_all_distilroberta_v1,J_char_heavy,1.4925910773421385,0.3714285714285714,0.7948717948717948,0.41935483870967744
sentence_transformers_all_mpnet_base_v2,A_semantic_only,1.0,0.3333333333333333,1.0,0.3333333333333333
sentence_transformers_all_mpnet_base_v2,B_hybrid_light,1.3663704284203906,0.37681159420289856,0.7692307692307693,0.43333333333333335
sentence_transformers_all_mpnet_base_v2,C_lex_sem_strong,1.122468607491707,0.38961038961038963,0.9743589743589743,0.39473684210526316
