model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries
embedding_data_deberta_sentence_transformer,A_semantic_only,1,0.15384615384615385,0.07692307692307693,0.10256410256410256,0.15384615384615385,0.15384615384615385,0.20947293447293447,0.15384615384615385,1.0,39
embedding_data_deberta_sentence_transformer,A_semantic_only,3,0.06837606837606837,0.10256410256410256,0.08205128205128205,0.16796539853127296,0.09188034188034187,0.20947293447293447,0.1794871794871795,1.0,39
embedding_data_deberta_sentence_transformer,A_semantic_only,5,0.06153846153846155,0.15384615384615385,0.08791208791208792,0.20492898533413892,0.10277777777777776,0.20947293447293447,0.28205128205128205,1.0,39
embedding_data_deberta_sentence_transformer,A_semantic_only,10,0.051282051282051294,0.2564102564102564,0.08547008547008546,0.26132938304266123,0.11869658119658119,0.20947293447293447,0.4358974358974359,1.0,39
embedding_data_deberta_sentence_transformer,B_hybrid_light,1,0.1794871794871795,0.08974358974358974,0.11965811965811965,0.1794871794871795,0.1794871794871795,0.25366300366300365,0.1794871794871795,1.0,39
embedding_data_deberta_sentence_transformer,B_hybrid_light,3,0.1111111111111111,0.16666666666666666,0.13333333333333336,0.23496917270474627,0.11752136752136752,0.25366300366300365,0.3333333333333333,1.0,39
embedding_data_deberta_sentence_transformer,B_hybrid_light,5,0.07692307692307693,0.19230769230769232,0.10989010989010992,0.25209415400840496,0.12585470085470085,0.25366300366300365,0.358974358974359,1.0,39
embedding_data_deberta_sentence_transformer,B_hybrid_light,10,0.05384615384615385,0.2692307692307692,0.08974358974358976,0.2935602107151611,0.1412189662189662,0.25366300366300365,0.4358974358974359,1.0,39
embedding_data_deberta_sentence_transformer,C_lex_sem_strong,1,0.20512820512820512,0.10256410256410256,0.13675213675213674,0.20512820512820512,0.20512820512820512,0.3194342694342694,0.20512820512820512,1.0,39
embedding_data_deberta_sentence_transformer,C_lex_sem_strong,3,0.11965811965811965,0.1794871794871795,0.1435897435897436,0.26648177591575317,0.13888888888888887,0.3194342694342694,0.358974358974359,1.0,39
embedding_data_deberta_sentence_transformer,C_lex_sem_strong,5,0.1076923076923077,0.2692307692307692,0.15384615384615388,0.31992098510970957,0.16773504273504272,0.3194342694342694,0.46153846153846156,1.0,39
