onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
17-2141.00,"Mechanical Engineers",4.A.4.b.6.I02.D03,"Advise customers on the use of products or services.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.b.6.I03.D02,"Advise others regarding green practices or environmental concerns.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.a.4.I05.D06,"Analyze design or requirements information for mechanical equipment or systems.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.a.2.I04.D02,"Confer with other personnel to resolve design or operational problems.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.b.4.I14.D02,"Coordinate safety or regulatory compliance activities.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.b.2.I21.D01,"Create models of engineering designs or methods.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.b.2.I24.D03,"Design electronic or computer equipment or instrumentation.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.b.2.I14.D03,"Design industrial equipment.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.b.2.I14.D01,"Design industrial processing systems.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.b.1.I04.D03,"Determine operational methods.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.b.4.I12.D04,"Direct equipment maintenance or repair activities.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.b.4.I12.D24,"Direct industrial production activities.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.b.4.I10.D04,"Direct installation activities.",2.20
17-2141.00,"Mechanical Engineers",4.A.3.b.6.I09.D02,"Document technical design details.",2.20
17-2141.00,"Mechanical Engineers",4.A.1.b.3.I02.D04,"Estimate operational costs.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.a.3.I02.D04,"Evaluate plans or specifications to determine technological or environmental implications.",2.20
17-2141.00,"Mechanical Engineers",4.A.1.b.1.I02.D05,"Identify new applications for existing technologies.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.b.1.I09.D06,"Implement design or process improvements.",2.20
17-2141.00,"Mechanical Engineers",4.A.3.a.2.I20.D04,"Install production equipment or systems.",2.20
17-2141.00,"Mechanical Engineers",4.A.1.a.1.I22.D01,"Investigate system, equipment, or product failures.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.a.6.I03.D01,"Perform marketing activities.",2.20
17-2141.00,"Mechanical Engineers",4.A.3.b.6.I07.D03,"Prepare proposal documents.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance.",2.20
17-2141.00,"Mechanical Engineers",4.A.1.a.1.I09.D02,"Research industrial processes or operations.",2.20
17-2141.00,"Mechanical Engineers",4.A.1.a.1.I02.D08,"Review technical documents to plan work.",2.20
17-2141.00,"Mechanical Engineers",4.A.2.b.1.I10.D01,"Select tools, equipment, or technologies for use in operations or projects.",2.20
17-2141.00,"Mechanical Engineers",4.A.4.b.4.I01.D05,"Supervise production or support personnel.",2.20
17-2141.00,"Mechanical Engineers",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",2.20
