onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I05.D08,"Analyze costs and benefits of proposed designs or projects.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I05.D04,"Analyze green technology design requirements.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I12.D04,"Analyze test or validation data.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.a.2.I04.D02,"Assemble equipment or components.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.a.2.I04.D12,"Assemble mechanical components or machine parts.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.4.a.2.I02.D03,"Assist engineers or scientists with research.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.4.a.2.I09.D04,"Collaborate with others to develop or refine designs.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I12.D01,"Conduct quantitative failure analyses of operational data.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.b.2.I18.D21,"Create graphical representations of industrial production systems.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.b.2.I18.D18,"Create graphical representations of mechanical equipment.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.b.2.I14.D03,"Design industrial equipment.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.b.6.I09.D07,"Document design or operational test results.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.b.6.I09.D02,"Document technical design details.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.1.b.3.I02.D04,"Estimate operational costs.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.b.1.I08.D01,"Estimate technical or resource requirements for development or production projects.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I05.D03,"Evaluate designs or specifications to ensure quality.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.4.a.1.I01.D04,"Explain engineering drawings, specifications, or other technical information.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.a.2.I27.D01,"Fabricate devices or components.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.1.a.2.I02.D15,"Monitor the productivity or efficiency of industrial operations.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.b.6.I13.D06,"Prepare contracts, disclosures, or applications.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.4.b.6.I04.D01,"Provide technical guidance to other personnel.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.1.a.1.I02.D08,"Review technical documents to plan work.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.b.5.I02.D07,"Schedule operational activities.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.1.b.2.I03.D04,"Test characteristics of materials or structures.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",2.15
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.1.b.2.I03.D02,"Test products for functionality or quality.",2.15
