dwa_title
update technical knowledge
determine operational criteria or specifications
prepare operational reports
implement design or process improvements
develop technical methods or processes
prepare technical reports for internal use
maintain operational records or records systems
research advanced engineering designs or applications
"coordinate activities with suppliers, contractors, clients, or other departments"
provide technical guidance to other personnel
conduct quantitative failure analyses of operational data
determine design criteria or specifications
estimate operational costs
determine design criteria or specifications
devise research or testing protocols
evaluate technical data to determine effect on designs or plans
calibrate scientific or technical equipment
create models of engineering designs or methods
design electromechanical equipment or systems
evaluate characteristics of equipment or systems
design electromechanical equipment or systems
"test performance of electrical, electronic, mechanical, or integrated systems or equipment"
direct design or development activities
design control systems for mechanical or other equipment
design energy-efficient vehicles or vehicle components
design energy-efficient vehicles or vehicle components
design energy-efficient vehicles or vehicle components
determine design criteria or specifications
research advanced engineering designs or applications
research design or application of green technologies
determine operational methods
create graphical representations of industrial production systems
confer with technical personnel to prepare designs or operational plans
determine causes of operational problems or failures
design industrial equipment
install production equipment or systems
estimate operational costs
estimate technical or resource requirements for development or production projects
estimate time requirements for development or production projects
assess product or process usefulness
"analyze operational data to evaluate operations, processes or products"
resolve operational performance problems
prepare procedural documents
"purchase materials, equipment, or other resources"
evaluate designs or specifications to ensure quality
determine causes of operational problems or failures
prepare operational reports
provide technical guidance to other personnel
update technical knowledge
supervise production or support personnel
train personnel on proper operational procedures
analyze costs and benefits of proposed designs or projects
design industrial processing systems
investigate the environmental impact of projects
develop operational methods or processes that use green materials or emphasize sustainability
implement design or process improvements
develop technical methods or processes
design industrial processing systems
determine causes of operational problems or failures
"recommend technical design or process changes to improve efficiency, quality, or performance"
devise research or testing protocols
train personnel on proper operational procedures
prepare procedural documents
"recommend technical design or process changes to improve efficiency, quality, or performance"
confer with technical personnel to prepare designs or operational plans
"communicate technical information to suppliers, contractors, or regulatory agencies"
"communicate technical information to suppliers, contractors, or regulatory agencies"
confer with technical personnel to prepare designs or operational plans
confer with technical personnel to prepare designs or operational plans
design medical devices or appliances
research engineering aspects of biological or chemical processes
design medical devices or appliances
devise research or testing protocols
develop operational methods or processes that use green materials or emphasize sustainability
develop technical methods or processes
create models of engineering designs or methods
research engineering aspects of biological or chemical processes
maintain operational records or records systems
supervise engineering or other technical personnel
estimate operational costs
estimate time requirements for development or production projects
prepare detailed work plans
prepare technical reports for internal use
"prepare contracts, disclosures, or applications"
update technical knowledge
"recommend technical design or process changes to improve efficiency, quality, or performance"
research engineering aspects of biological or chemical processes
evaluate characteristics of equipment or systems
advise customers on the use of products or services
research engineering aspects of biological or chemical processes
create models of engineering designs or methods
research engineering aspects of biological or chemical processes
develop software or computer applications
"analyze operational data to evaluate operations, processes or products"
supervise engineering or other technical personnel
design electromechanical equipment or systems
advise customers on the use of products or services
evaluate designs or specifications to ensure quality
document technical design details
prepare operational reports
program robotic equipment
maintain operational records or records systems
interpret design or operational test results
program robotic equipment
"investigate system, equipment, or product failures"
calibrate scientific or technical equipment
install production equipment or systems
operate industrial equipment
program robotic equipment
design industrial equipment
research advanced engineering designs or applications
