model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries,_source_container,_source_pipeline,_source_artifact,_source_basename,_source_relpath,_source_mtime
embedding_data_deberta_sentence_transformer,E_diversity,3,0.1025641025641025,0.1538461538461538,0.1230769230769231,0.2221486598842334,0.1132478632478632,0.2515262515262515,0.3076923076923077,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,E_diversity,5,0.0717948717948718,0.1794871794871795,0.1025641025641025,0.2442346372213305,0.1196581196581196,0.2515262515262515,0.358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,E_diversity,10,0.0538461538461538,0.2692307692307692,0.0897435897435897,0.2908858303379569,0.1386548636548636,0.2515262515262515,0.4358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,F_recall_first,1,0.1794871794871795,0.0897435897435897,0.1196581196581196,0.1794871794871795,0.1794871794871795,0.2557997557997558,0.1794871794871795,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,F_recall_first,3,0.1025641025641025,0.1538461538461538,0.1230769230769231,0.2271083112590352,0.1132478632478632,0.2557997557997558,0.3076923076923077,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,F_recall_first,5,0.0923076923076923,0.2307692307692307,0.1318681318681318,0.2791722400367625,0.1363247863247863,0.2557997557997558,0.4102564102564102,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,F_recall_first,10,0.0538461538461538,0.2692307692307692,0.0897435897435897,0.2976385513333747,0.1445665445665445,0.2557997557997558,0.4358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,G_mnn_heavy,1,0.1794871794871795,0.0897435897435897,0.1196581196581196,0.1794871794871795,0.1794871794871795,0.2636752136752137,0.1794871794871795,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,G_mnn_heavy,3,0.1196581196581196,0.1794871794871795,0.1435897435897436,0.2498481268291517,0.1239316239316239,0.2636752136752137,0.358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,G_mnn_heavy,5,0.0871794871794871,0.2179487179487179,0.1245421245421245,0.276892410882414,0.1348290598290598,0.2636752136752137,0.4102564102564102,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,G_mnn_heavy,10,0.0538461538461538,0.2692307692307692,0.0897435897435897,0.3009048826249739,0.1465811965811966,0.2636752136752137,0.4358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,H_zfilter,1,0.1794871794871795,0.0897435897435897,0.1196581196581196,0.1794871794871795,0.1794871794871795,0.2412393162393162,0.1794871794871795,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
