model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries,_source_container,_source_pipeline,_source_artifact,_source_basename,_source_relpath,_source_mtime
embedding-data/deberta-sentence-transformer,E_diversity,1,0.1162790697674418,0.0581395348837209,0.0775193798449612,0.1162790697674418,0.1162790697674418,0.1875138427464009,0.1162790697674418,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,E_diversity,3,0.1007751937984496,0.1569767441860465,0.1220930232558139,0.1423729877481036,0.1172480620155038,0.1875138427464009,0.2441860465116279,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,E_diversity,5,0.0697674418604651,0.1802325581395348,0.1002214839424142,0.1540303327560545,0.1239341085271317,0.1875138427464009,0.2790697674418604,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,E_diversity,10,0.0453488372093023,0.2325581395348837,0.0757575757575757,0.174927025318354,0.1353543743078626,0.1875138427464009,0.313953488372093,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,F_recall_first,1,0.1046511627906976,0.0523255813953488,0.0697674418604651,0.1046511627906976,0.1046511627906976,0.1697305278700627,0.1046511627906976,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,F_recall_first,3,0.0736434108527131,0.1220930232558139,0.0906976744186046,0.1120252217134062,0.0843023255813953,0.1697305278700627,0.2209302325581395,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,F_recall_first,5,0.0488372093023255,0.1337209302325581,0.070874861572536,0.1181663408430013,0.0886627906976744,0.1697305278700627,0.2325581395348837,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,F_recall_first,10,0.0337209302325581,0.1860465116279069,0.0567300916138125,0.1375256995535965,0.0961055740125507,0.1697305278700627,0.313953488372093,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,G_mnn_heavy,1,0.0930232558139534,0.0465116279069767,0.0620155038759689,0.0930232558139534,0.0930232558139534,0.1651162790697674,0.0930232558139534,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,G_mnn_heavy,3,0.0813953488372093,0.1220930232558139,0.0976744186046511,0.1127142605071775,0.0891472868217054,0.1651162790697674,0.2093023255813953,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
