url,name,topics,skills_title,description,language,outcomes
https://www.coursera.org/learn/-security-principles,Security Principles | Coursera,"['Information Technology', 'Security']",security,"Welcome to course 1 of 5 of this Specialization, Security Principles.After completing this course, the participant will be able to:â¯

Discuss the foundational concepts of cybersecurity principles.

- Recognize foundational security concepts of information assurance.
- Define risk management terminology and summarize the process.
- Relate risk management to personal or professional practices.
- Classify types of security controls.
- Distinguish between policies, procedures, standards, regulations and laws.
- Demonstrate the relationship among governance elements.
- Analyze appropriate outcomes according to the canons of the (ISC)2 Code of Ethics when given examples.
- Practice the terminology and review security principles.

Agenda

Course Introduction
Module 1: Information Assurance 
Module 2: Risk Management Process 
Module 3: Security Controls
Module 4: Governance
Module 5: (ISC)2 Code of Ethics
Module 6: Course Summary

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required.",English,[]
https://www.coursera.org/learn/-security-principles,Security Principles | Coursera,"['Information Technology', 'Security']",governance,"Welcome to course 1 of 5 of this Specialization, Security Principles.After completing this course, the participant will be able to:â¯

Discuss the foundational concepts of cybersecurity principles.

- Recognize foundational security concepts of information assurance.
- Define risk management terminology and summarize the process.
- Relate risk management to personal or professional practices.
- Classify types of security controls.
- Distinguish between policies, procedures, standards, regulations and laws.
- Demonstrate the relationship among governance elements.
- Analyze appropriate outcomes according to the canons of the (ISC)2 Code of Ethics when given examples.
- Practice the terminology and review security principles.

Agenda

Course Introduction
Module 1: Information Assurance 
Module 2: Risk Management Process 
Module 3: Security Controls
Module 4: Governance
Module 5: (ISC)2 Code of Ethics
Module 6: Course Summary

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required.",English,[]
https://www.coursera.org/learn/10k-women-1,"Grow Your Business with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",opportunity identification,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level.In this course you will gain the skills that will help you to plan how to best grow your business in future. You will learn how to identify business opportunities, and select the one which is the most progressive and forward-looking, assessing its feasibility. 

You will also be introduced to the Business Growth Plan (BGP), a strategic tool that will help you identify your business objectives and guide your businessâs growth. If you choose to take all 10 free online courses, the BGP will be your key takeaway from Goldman Sachs 10,000 Women. 

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth.
Find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Develop your community and discuss the value of peer learning.  ', 'Discover the content and development process of your Business Growth Plan (BGP).\\r ', 'Explore a potential growth opportunity for your business and evaluate its feasibility.', 'Develop your Opportunity Statement.']"
https://www.coursera.org/learn/10k-women-1,"Grow Your Business with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",strategic thinking,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level.In this course you will gain the skills that will help you to plan how to best grow your business in future. You will learn how to identify business opportunities, and select the one which is the most progressive and forward-looking, assessing its feasibility. 

You will also be introduced to the Business Growth Plan (BGP), a strategic tool that will help you identify your business objectives and guide your businessâs growth. If you choose to take all 10 free online courses, the BGP will be your key takeaway from Goldman Sachs 10,000 Women. 

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth.
Find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Develop your community and discuss the value of peer learning.  ', 'Discover the content and development process of your Business Growth Plan (BGP).\\r ', 'Explore a potential growth opportunity for your business and evaluate its feasibility.', 'Develop your Opportunity Statement.']"
https://www.coursera.org/learn/10k-women-1,"Grow Your Business with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",business analytics,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level.In this course you will gain the skills that will help you to plan how to best grow your business in future. You will learn how to identify business opportunities, and select the one which is the most progressive and forward-looking, assessing its feasibility. 

You will also be introduced to the Business Growth Plan (BGP), a strategic tool that will help you identify your business objectives and guide your businessâs growth. If you choose to take all 10 free online courses, the BGP will be your key takeaway from Goldman Sachs 10,000 Women. 

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth.
Find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Develop your community and discuss the value of peer learning.  ', 'Discover the content and development process of your Business Growth Plan (BGP).\\r ', 'Explore a potential growth opportunity for your business and evaluate its feasibility.', 'Develop your Opportunity Statement.']"
https://www.coursera.org/learn/10k-women-1,"Grow Your Business with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",entrepreneurship,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level.In this course you will gain the skills that will help you to plan how to best grow your business in future. You will learn how to identify business opportunities, and select the one which is the most progressive and forward-looking, assessing its feasibility. 

You will also be introduced to the Business Growth Plan (BGP), a strategic tool that will help you identify your business objectives and guide your businessâs growth. If you choose to take all 10 free online courses, the BGP will be your key takeaway from Goldman Sachs 10,000 Women. 

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth.
Find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Develop your community and discuss the value of peer learning.  ', 'Discover the content and development process of your Business Growth Plan (BGP).\\r ', 'Explore a potential growth opportunity for your business and evaluate its feasibility.', 'Develop your Opportunity Statement.']"
https://www.coursera.org/learn/10k-women-10,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",emotional intelligence,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level. This course will examine negotiation and explore the tools you need in order to negotiate confidently, as you pursue opportunities for business growth.  

You will consider some common assumptions and preconceptions about negotiation, identify your preferred style of negotiation, and review how it compares with the style of others.  
You will then explore the practical and psychological preparation necessary for successful negotiation. This involves setting up your goals and expectations and identifying the zone of possible agreement. You will discover effective listening tactics and evaluate your own listening skills.  

At the end of this course, you will work through a negotiation scenario to apply and practice your negotiation skills.  

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth. You can find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Review how to establish rapport, trust, and respect at the bargaining table.', 'Discuss the importance of preparation and goal setting in negotiation.', 'Differentiate between interests and positions, and find creative solutions that integrate the interests of all parties.', 'Identify and evaluate the types, and characteristics, of leverage in negotiations.  ']"
https://www.coursera.org/learn/10k-women-10,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",customer relationship management (crm),"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level. This course will examine negotiation and explore the tools you need in order to negotiate confidently, as you pursue opportunities for business growth.  

You will consider some common assumptions and preconceptions about negotiation, identify your preferred style of negotiation, and review how it compares with the style of others.  
You will then explore the practical and psychological preparation necessary for successful negotiation. This involves setting up your goals and expectations and identifying the zone of possible agreement. You will discover effective listening tactics and evaluate your own listening skills.  

At the end of this course, you will work through a negotiation scenario to apply and practice your negotiation skills.  

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth. You can find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Review how to establish rapport, trust, and respect at the bargaining table.', 'Discuss the importance of preparation and goal setting in negotiation.', 'Differentiate between interests and positions, and find creative solutions that integrate the interests of all parties.', 'Identify and evaluate the types, and characteristics, of leverage in negotiations.  ']"
https://www.coursera.org/learn/10k-women-10,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",communication,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level. This course will examine negotiation and explore the tools you need in order to negotiate confidently, as you pursue opportunities for business growth.  

You will consider some common assumptions and preconceptions about negotiation, identify your preferred style of negotiation, and review how it compares with the style of others.  
You will then explore the practical and psychological preparation necessary for successful negotiation. This involves setting up your goals and expectations and identifying the zone of possible agreement. You will discover effective listening tactics and evaluate your own listening skills.  

At the end of this course, you will work through a negotiation scenario to apply and practice your negotiation skills.  

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth. You can find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Review how to establish rapport, trust, and respect at the bargaining table.', 'Discuss the importance of preparation and goal setting in negotiation.', 'Differentiate between interests and positions, and find creative solutions that integrate the interests of all parties.', 'Identify and evaluate the types, and characteristics, of leverage in negotiations.  ']"
https://www.coursera.org/learn/10k-women-10,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",bargaining,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level. This course will examine negotiation and explore the tools you need in order to negotiate confidently, as you pursue opportunities for business growth.  

You will consider some common assumptions and preconceptions about negotiation, identify your preferred style of negotiation, and review how it compares with the style of others.  
You will then explore the practical and psychological preparation necessary for successful negotiation. This involves setting up your goals and expectations and identifying the zone of possible agreement. You will discover effective listening tactics and evaluate your own listening skills.  

At the end of this course, you will work through a negotiation scenario to apply and practice your negotiation skills.  

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth. You can find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Review how to establish rapport, trust, and respect at the bargaining table.', 'Discuss the importance of preparation and goal setting in negotiation.', 'Differentiate between interests and positions, and find creative solutions that integrate the interests of all parties.', 'Identify and evaluate the types, and characteristics, of leverage in negotiations.  ']"
https://www.coursera.org/learn/10k-women-10,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",negotiation,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level. This course will examine negotiation and explore the tools you need in order to negotiate confidently, as you pursue opportunities for business growth.  

You will consider some common assumptions and preconceptions about negotiation, identify your preferred style of negotiation, and review how it compares with the style of others.  
You will then explore the practical and psychological preparation necessary for successful negotiation. This involves setting up your goals and expectations and identifying the zone of possible agreement. You will discover effective listening tactics and evaluate your own listening skills.  

At the end of this course, you will work through a negotiation scenario to apply and practice your negotiation skills.  

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth. You can find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Review how to establish rapport, trust, and respect at the bargaining table.', 'Discuss the importance of preparation and goal setting in negotiation.', 'Differentiate between interests and positions, and find creative solutions that integrate the interests of all parties.', 'Identify and evaluate the types, and characteristics, of leverage in negotiations.  ']"
https://www.coursera.org/learn/10k-women-2,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",income statement analysis,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level. This course will introduce you to business finance, and show you how to use financial statements to understand and monitor your companyâs financial position in order to make key business decisions.  

The exercises will introduce you to the Income Statement and Balance Sheet. Interpreting these statements and calculating key financial ratios such as net profit margin and current ratio will give you a clear understanding of your current business performance. With this information, you will have the skills to assess the financial implications of your growth opportunity more accurately.  

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth. 

You can find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Define and discuss the basic building blocks of financial statements: assets, liabilities, equity, revenue and expenses.  ', 'Interpret two key financial statements (Income Statement and Balance Sheet) to drive business decisions.  ', 'Identify the key business ratios that can be calculated using your Income Statement and Balance Sheet.  ']"
https://www.coursera.org/learn/10k-women-2,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women | Coursera","['Business', 'Entrepreneurship']",balance sheet,"This free online course is one of 10 courses available in the Goldman Sachs 10,000 Women collection, designed for entrepreneurs ready to take their business to the next level. This course will introduce you to business finance, and show you how to use financial statements to understand and monitor your companyâs financial position in order to make key business decisions.  

The exercises will introduce you to the Income Statement and Balance Sheet. Interpreting these statements and calculating key financial ratios such as net profit margin and current ratio will give you a clear understanding of your current business performance. With this information, you will have the skills to assess the financial implications of your growth opportunity more accurately.  

The 10,000 Women course collection offers a truly flexible online learning experience. You have the freedom to approach the program in any way that works for you â take any course, or combination of courses, to tailor your learning journey to your individual business growth needs. If you choose to take all 10 courses, you will explore all the key elements of your business and develop a thorough plan for your businessâs growth. 

You can find out more about the Goldman Sachs 10,000 Women collection in the FAQs.",English,"['Define and discuss the basic building blocks of financial statements: assets, liabilities, equity, revenue and expenses.  ', 'Interpret two key financial statements (Income Statement and Balance Sheet) to drive business decisions.  ', 'Identify the key business ratios that can be calculated using your Income Statement and Balance Sheet.  ']"
